--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
␀381.00, hokan nasi offset_x_cm for ac: 0.00, offset_x_cm for ac: 0.00, filterd_offset_x_cm: 0.00
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.46, current_time_ms: 31683, curr_params.time_get_image: 15116, offset_y_cm from origin: 24.41, hokan nasi offset_x_cm for ac: -40.22, offset_x_cm for ac: -40.16, filterd_offset_x_cm: -39.86
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.46, current_time_ms: 31695, curr_params.time_get_image: 15116, offset_y_cm from origin: 25.41, hokan nasi offset_x_cm for ac: -40.48, offset_x_cm for ac: -40.46, filterd_offset_x_cm: -40.02
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.46, current_time_ms: 31707, curr_params.time_get_image: 15116, offset_y_cm from origin: 26.41, hokan nasi offset_x_cm for ac: -40.70, offset_x_cm for ac: -40.74, filterd_offset_x_cm: -40.22
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.46, current_time_ms: 31719, curr_params.time_get_image: 15116, offset_y_cm from origin: 27.41, hokan nasi offset_x_cm for ac: -40.89, offset_x_cm for ac: -40.98, filterd_offset_x_cm: -40.43
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.46, current_time_ms: 31731, curr_params.time_get_image: 15116, offset_y_cm from origin: 28.41, hokan nasi offset_x_cm for ac: -41.06, offset_x_cm for ac: -41.19, filterd_offset_x_cm: -40.64
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.46, current_time_ms: 31743, curr_params.time_get_image: 15116, offset_y_cm from origin: 29.41, hokan nasi offset_x_cm for ac: -41.21, offset_x_cm for ac: -41.38, filterd_offset_x_cm: -40.84
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.46, current_time_ms: 31755, curr_params.time_get_image: 15116, offset_y_cm from origin: 30.41, hokan nasi offset_x_cm for ac: -41.34, offset_x_cm for ac: -41.56, filterd_offset_x_cm: -41.04
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.46, current_time_ms: 31767, curr_params.time_get_image: 15116, offset_y_cm from origin: 32.41, hokan nasi offset_x_cm for ac: -41.45, offset_x_cm for ac: -41.75, filterd_offset_x_cm: -41.23
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.46, current_time_ms: 31779, curr_params.time_get_image: 15116, offset_y_cm from origin: 33.41, hokan nasi offset_x_cm for ac: -41.55, offset_x_cm for ac: -41.88, filterd_offset_x_cm: -41.41
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.46, current_time_ms: 31791, curr_params.time_get_image: 15116, offset_y_cm from origin: 34.41, hokan nasi offset_x_cm for ac: -41.64, offset_x_cm for ac: -42.01, filterd_offset_x_cm: -41.57
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.46, current_time_ms: 31803, curr_params.time_get_image: 15116, offset_y_cm from origin: 35.41, hokan nasi offset_x_cm for ac: -41.71, offset_x_cm for ac: -42.12, filterd_offset_x_cm: -41.72
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.46, current_time_ms: 31815, curr_params.time_get_image: 15116, offset_y_cm from origin: 36.41, hokan nasi offset_x_cm for ac: -41.78, offset_x_cm for ac: -42.23, filterd_offset_x_cm: -41.86
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.46, current_time_ms: 31827, curr_params.time_get_image: 15116, offset_y_cm from origin: 37.41, hokan nasi offset_x_cm for ac: -41.84, offset_x_cm for ac: -42.32, filterd_offset_x_cm: -41.99
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.46, current_time_ms: 31839, curr_params.time_get_image: 15116, offset_y_cm from origin: 39.41, hokan nasi offset_x_cm for ac: -41.89, offset_x_cm for ac: -42.44, filterd_offset_x_cm: -42.11
