--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 140761, curr_params.time_get_image: 54626, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 140772, curr_params.time_get_image: 54626, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 140783, curr_params.time_get_image: 54626, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 140794, curr_params.time_get_image: 54626, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 140805, curr_params.time_get_image: 54626, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 140816, curr_params.time_get_image: 54626, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 140827, curr_params.time_get_image: 54626, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 140838, curr_params.time_get_image: 54626, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 140849, curr_params.time_get_image: 54626, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 140860, curr_params.time_get_image: 54626, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 140871, curr_params.time_get_image: 54626, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 140882, curr_params.time_get_image: 54626, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 140893, curr_params.time_get_image: 54626, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 140904, curr_params.time_get_image: 54626, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 140915, curr_params.time_get_image: 54626, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 140926, curr_params.time_get_image: 54626, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 140937, curr_params.time_get_image: 54626, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
