--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
␀rigin: 0.00, hokan nasi offset_x_cm for ac: -46.40, offset_x_cm for ac: -46.38
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.63, current_time_ms: 153795, curr_params.time_get_image: 16898, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.40, offset_x_cm for ac: -27.42
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.63, current_time_ms: 153806, curr_params.time_get_image: 16898, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.37, offset_x_cm for ac: -27.39
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.63, current_time_ms: 153817, curr_params.time_get_image: 16898, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.33, offset_x_cm for ac: -27.35
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.63, current_time_ms: 153828, curr_params.time_get_image: 16898, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.30, offset_x_cm for ac: -27.32
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.63, current_time_ms: 153839, curr_params.time_get_image: 16898, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.27, offset_x_cm for ac: -27.28
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.63, current_time_ms: 153850, curr_params.time_get_image: 16898, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.24, offset_x_cm for ac: -27.25
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -22.73, current_time_ms: 153862, curr_params.time_get_image: 17131, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.18, offset_x_cm for ac: -27.21
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -22.73, current_time_ms: 153873, curr_params.time_get_image: 17131, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.12, offset_x_cm for ac: -27.15
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -22.73, current_time_ms: 153884, curr_params.time_get_image: 17131, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.07, offset_x_cm for ac: -27.09
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -22.73, current_time_ms: 153895, curr_params.time_get_image: 17131, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.01, offset_x_cm for ac: -27.04
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -22.73, current_time_ms: 153906, curr_params.time_get_image: 17131, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.96, offset_x_cm for ac: -26.99
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -22.73, current_time_ms: 153917, curr_params.time_get_image: 17131, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.91, offset_x_cm for ac: -26.93
