--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
␀40.33, offset_x_cm for ac: -40.32
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 108985, curr_params.time_get_image: 37620, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.71, offset_x_cm for ac: -39.71
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 108996, curr_params.time_get_image: 37620, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.71, offset_x_cm for ac: -39.71
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109007, curr_params.time_get_image: 37620, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.71, offset_x_cm for ac: -39.71
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109018, curr_params.time_get_image: 37620, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.71, offset_x_cm for ac: -39.71
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109029, curr_params.time_get_image: 37620, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.71, offset_x_cm for ac: -39.71
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109040, curr_params.time_get_image: 37620, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.71, offset_x_cm for ac: -39.71
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.41, current_time_ms: 109052, curr_params.time_get_image: 37858, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.71, offset_x_cm for ac: -39.71
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.41, current_time_ms: 109063, curr_params.time_get_image: 37858, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.71, offset_x_cm for ac: -39.71
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.41, current_time_ms: 109074, curr_params.time_get_image: 37858, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.70, offset_x_cm for ac: -39.71
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.41, current_time_ms: 109085, curr_params.time_get_image: 37858, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.70, offset_x_cm for ac: -39.70
