send offset to actuator, curr_params.slope: -0.01, curr_params.bias: -34.67, current_time_ms: 35582, curr_params.time_get_image: 15811, offset_y_cm from origin: 65.23, hokan nasi offset_x_cm for ac: -34.44, offset_x_cm for ac: -34.32
send offset to actuator, curr_params.slope: -0.01, curr_params.bias: -34.67, current_time_ms: 35593, curr_params.time_get_image: 15811, offset_y_cm from origin: 67.23, hokan nasi offset_x_cm for ac: -34.44, offset_x_cm for ac: -34.31
send offset to actuator, curr_params.slope: -0.01, curr_params.bias: -34.67, current_time_ms: 35604, curr_params.time_get_image: 15811, offset_y_cm from origin: 68.23, hokan nasi offset_x_cm for ac: -34.44, offset_x_cm for ac: -34.30
send offset to actuator, curr_params.slope: -0.01, curr_params.bias: -34.67, current_time_ms: 35615, curr_params.time_get_image: 15811, offset_y_cm from origin: 70.23, hokan nasi offset_x_cm for ac: -34.44, offset_x_cm for ac: -34.29
send offset to actuator, curr_params.slope: -0.01, curr_params.bias: -34.67, current_time_ms: 35626, curr_params.time_get_image: 15811, offset_y_cm from origin: 72.23, hokan nasi offset_x_cm for ac: -34.44, offset_x_cm for ac: -34.28
send offset to actuator, curr_params.slope: -0.01, curr_params.bias: -34.67, current_time_ms: 35637, curr_params.time_get_image: 15811, offset_y_cm from origin: 73.23, hokan nasi offset_x_cm for ac: -34.44, offset_x_cm for ac: -34.27
send offset to actuator, curr_params.slope: -0.01, curr_params.bias: -34.67, current_time_ms: 35648, curr_params.time_get_image: 15811, offset_y_cm from origin: 75.23, hokan nasi offset_x_cm for ac: -34.44, offset_x_cm for ac: -34.26
send offset to actuator, curr_params.slope: -0.01, curr_params.bias: -34.67, current_time_ms: 35659, curr_params.time_get_image: 15811, offset_y_cm from origin: 76.23, hokan nasi offset_x_cm for ac: -34.44, offset_x_cm for ac: -34.26
send offset to actuator, curr_params.slope: 0.00, curr_params.bias: -32.65, current_time_ms: 35671, curr_params.time_get_image: 16054, offset_y_cm from origin: 36.54, hokan nasi offset_x_cm for ac: -32.68, offset_x_cm for ac: -32.68
send offset to actuator, curr_params.slope: 0.00, curr_params.bias: -32.65, current_time_ms: 35682, curr_params.time_get_image: 16054, offset_y_cm from origin: 37.54, hokan nasi offset_x_cm for ac: -32.68, offset_x_cm for ac: -32.68
send offset to actuator, curr_params.slope: 0.00, curr_params.bias: -32.65, current_time_ms: 35693, curr_params.time_get_image: 16054, offset_y_cm from origin: 39.54, hokan nasi offset_x_cm for ac: -32.68, offset_x_cm for ac: -32.68
send offset to actuator, curr_params.slope: 0.00, curr_params.bias: -32.65, current_time_ms: 35704, curr_params.time_get_image: 16054, offset_y_cm from origin: 40.54, hokan nasi offset_x_cm for ac: -32.68, offset_x_cm for ac: -32.68
send offset to actuator, curr_params.slope: 0.00, curr_params.bias: -32.65, current_time_ms: 35715, curr_params.time_get_image: 16054, offset_y_cm from origin: 42.54, hokan nasi offset_x_cm for ac: -32.68, offset_x_cm for ac: -32.68
send offset to actuator, curr_params.slope: 0.00, curr_params.bias: -32.65, current_time_ms: 35726, curr_params.time_get_image: 16054, offset_y_cm from origin: 43.54, hokan nasi offset_x_cm for ac: -32.68, offset_x_cm for ac: -32.69
send offset to actuator, curr_params.slope: 0.00, curr_params.bias: -32.65, current_time_ms: 35737, curr_params.time_get_image: 16054, offset_y_cm from origin: 45.54, hokan nasi offset_x_cm for ac: -32.68, offset_x_cm for ac: -32.69
send offset to actuator, curr_params.slope: 0.00, curr_params.bias: -32.65, current_time_ms: 35748, curr_params.time_get_image: 16054, offset_y_cm from origin: 46.54, hokan nasi offset_x_cm for ac: -32.68, offset_x_cm for ac: -32.69
send offset to actuator, curr_params.slope: 0.00, curr_params.bias: -32.65, current_time_ms: 35759, curr_params.time_get_image: 16054, offset_y_cm from origin: 48.54, hokan nasi offset_x_cm for ac: -32.68, offset_x_cm for ac: -32.69
send offset to actuator, curr_params.slope: 0.00, curr_params.bias: -32.65, current_time_ms: 35770, curr_params.time_get_image: 16054, offset_y_cm from origin: 49.54, hokan nasi offset_x_cm for ac: -32.68, offset_x_cm for ac: -32.69
send offset to actuator, curr_params.slope: 0.00, curr_params.bias: -32.65, current_time_ms: 35781, curr_params.time_get_image: 16054, offset_y_cm from origin: 51.54, hokan nasi offset_x_cm for ac: -32.68, offset_x_cm for ac: -32.69
send offset to actuator, curr_params.slope: 0.00, curr_params.bias: -32.65, current_time_ms: 35792, curr_params.time_get_image: 16054, offset_y_cm from origin: 52.54, hokan nasi offset_x_cm for ac: -32.68, offset_x_cm for ac: -32.69
send offset to actuator, curr_params.slope: 0.00, curr_params.bias: -32.65, current_time_ms: 35803, curr_params.time_get_image: 16054, offset_y_cm from origin: 53.54, hokan nasi offset_x_cm for ac: -32.68, offset_x_cm for ac: -32.69
send offset to actuator, curr_params.slope: 0.00, curr_params.bias: -32.65, current_time_ms: 35814, curr_params.time_get_image: 16054, offset_y_cm from origin: 55.54, hokan nasi offset_x_cm for ac: -32.68, offset_x_cm for ac: -32.69
send offset to actuator, curr_params.slope: 0.00, curr_params.bias: -32.65, current_time_ms: 35825, curr_params.time_get_image: 16054, offset_y_cm from origin: 56.54, hokan nasi offset_x_cm for ac: -32.68, offset_x_cm for ac: -32.69
send offset to actuator, curr_params.slope: 0.00, curr_params.bias: -32.65, current_time_ms: 35836, curr_params.time_get_image: 16054, offset_y_cm from origin: 58.54, hokan nasi offset_x_cm for ac: -32.68, offset_x_cm for ac: -32.70
send offset to actuator, curr_params.slope: 0.00, curr_params.bias: -32.65, current_time_ms: 35847, curr_params.time_get_image: 16054, offset_y_cm from origin: 59.54, hokan nasi offset_x_cm for ac: -32.68, offset_x_cm for ac: -32.70
send offset to actuator, curr_params.slope: 0.00, curr_params.bias: -32.65, current_time_ms: 35858, curr_params.time_get_image: 16054, offset_y_cm from origin: 60.54, hokan nasi offset_x_cm for ac: -32.68, offset_x_cm for ac: -32.70
send offset to actuator, curr_params.slope: 0.00, curr_params.bias: -32.65, current_time_ms: 35869, curr_params.time_get_image: 16054, offset_y_cm from origin: 62.54, hokan nasi offset_x_cm for ac: -32.68, offset_x_cm for ac: -32.70
send offset to actuator, curr_params.slope: 0.00, curr_params.bias: -32.65, current_time_ms: 35880, curr_params.time_get_image: 16054, offset_y_cm from origin: 63.54, hokan nasi offset_x_cm for ac: -32.68, offset_x_cm for ac: -32.70
send offset to actuator, curr_params.slope: 0.00, curr_params.bias: -32.65, current_time_ms: 35891, curr_params.time_get_image: 16054, offset_y_cm from origin: 64.54, hokan nasi offset_x_cm for ac: -32.68, offset_x_cm for ac: -32.70
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -33.32, current_time_ms: 35903, curr_params.time_get_image: 16286, offset_y_cm from origin: 30.00, hokan nasi offset_x_cm for ac: -33.51, offset_x_cm for ac: -33.51
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -33.32, current_time_ms: 35914, curr_params.time_get_image: 16286, offset_y_cm from origin: 31.00, hokan nasi offset_x_cm for ac: -33.51, offset_x_cm for ac: -33.51
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -33.32, current_time_ms: 35925, curr_params.time_get_image: 16286, offset_y_cm from origin: 32.00, hokan nasi offset_x_cm for ac: -33.51, offset_x_cm for ac: -33.52
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -33.32, current_time_ms: 35936, curr_params.time_get_image: 16286, offset_y_cm from origin: 33.00, hokan nasi offset_x_cm for ac: -33.51, offset_x_cm for ac: -33.53
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -33.32, current_time_ms: 35947, curr_params.time_get_image: 16286, offset_y_cm from origin: 35.00, hokan nasi offset_x_cm for ac: -33.51, offset_x_cm for ac: -33.54
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -33.32, current_time_ms: 35958, curr_params.time_get_image: 16286, offset_y_cm from origin: 36.00, hokan nasi offset_x_cm for ac: -33.51, offset_x_cm for ac: -33.54
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -33.32, current_time_ms: 35969, curr_params.time_get_image: 16286, offset_y_cm from origin: 37.00, hokan nasi offset_x_cm for ac: -33.51, offset_x_cm for ac: -33.55
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -33.32, current_time_ms: 35980, curr_params.time_get_image: 16286, offset_y_cm from origin: 38.00, hokan nasi offset_x_cm for ac: -33.51, offset_x_cm for ac: -33.56
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -33.32, current_time_ms: 35991, curr_params.time_get_image: 16286, offset_y_cm from origin: 40.00, hokan nasi offset_x_cm for ac: -33.51, offset_x_cm for ac: -33.57
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -33.32, current_time_ms: 36002, curr_params.time_get_image: 16286, offset_y_cm from origin: 41.00, hokan nasi offset_x_cm for ac: -33.51, offset_x_cm for ac: -33.58
