--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
␀.64
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -28.44, current_time_ms: 616229, curr_params.time_get_image: 20571, offset_y_cm from origin: 2.04, hokan nasi offset_x_cm for ac: -27.61, offset_x_cm for ac: -27.52
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -28.44, current_time_ms: 616240, curr_params.time_get_image: 20571, offset_y_cm from origin: 2.04, hokan nasi offset_x_cm for ac: -27.67, offset_x_cm for ac: -27.57
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -28.44, current_time_ms: 616251, curr_params.time_get_image: 20571, offset_y_cm from origin: 1.04, hokan nasi offset_x_cm for ac: -27.72, offset_x_cm for ac: -27.61
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -28.44, current_time_ms: 616262, curr_params.time_get_image: 20571, offset_y_cm from origin: 1.04, hokan nasi offset_x_cm for ac: -27.77, offset_x_cm for ac: -27.66
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -28.44, current_time_ms: 616273, curr_params.time_get_image: 20571, offset_y_cm from origin: 0.04, hokan nasi offset_x_cm for ac: -27.81, offset_x_cm for ac: -27.70
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -28.44, current_time_ms: 616284, curr_params.time_get_image: 20571, offset_y_cm from origin: 0.04, hokan nasi offset_x_cm for ac: -27.86, offset_x_cm for ac: -27.75
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.40, current_time_ms: 616296, curr_params.time_get_image: 20820, offset_y_cm from origin: 10.52, hokan nasi offset_x_cm for ac: -27.75, offset_x_cm for ac: -27.81
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.40, current_time_ms: 616307, curr_params.time_get_image: 20820, offset_y_cm from origin: 10.52, hokan nasi offset_x_cm for ac: -27.60, offset_x_cm for ac: -27.67
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.40, current_time_ms: 616318, curr_params.time_get_image: 20820, offset_y_cm from origin: 10.52, hokan nasi offset_x_cm for ac: -27.47, offset_x_cm for ac: -27.54
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.40, current_time_ms: 616329, curr_params.time_get_image: 20820, offset_y_cm from origin: 9.52, hokan nasi offset_x_cm for ac: -27.34, offset_x_cm for ac: -27.39
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.40, current_time_ms: 616340, curr_params.time_get_image: 20820, offset_y_cm from origin: 9.52, hokan nasi offset_x_cm for ac: -27.24, offset_x_cm for ac: -27.28
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.40, current_time_ms: 616351, curr_params.time_get_image: 20820, offset_y_cm from origin: 8.52, hokan nasi offset_x_cm for ac: -27.13, offset_x_cm for ac: -27.16
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.40, current_time_ms: 616362, curr_params.time_get_image: 20820, offset_y_cm from origin: 8.52, hokan nasi offset_x_cm for ac: -27.02, offset_x_cm for ac: -27.05
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.40, current_time_ms: 616373, curr_params.time_get_image: 20820, offset_y_cm from origin: 7.52, hokan nasi offset_x_cm for ac: -26.93, offset_x_cm for ac: -26.94
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.40, current_time_ms: 616384, curr_params.time_get_image: 20820, offset_y_cm from origin: 7.52, hokan nasi offset_x_cm for ac: -26.83, offset_x_cm for ac: -26.84
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.40, current_time_ms: 616395, curr_params.time_get_image: 20820, offset_y_cm from origin: 6.52, hokan nasi offset_x_cm for ac: -26.74, offset_x_cm for ac: -26.74
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.40, current_time_ms: 616406, curr_params.time_get_image: 20820, offset_y_cm from origin: 5.52, hokan nasi offset_x_cm for ac: -26.67, offset_x_cm for ac: -26.64
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.40, current_time_ms: 616417, curr_params.time_get_image: 20820, offset_y_cm from origin: 5.52, hokan nasi offset_x_cm for ac: -26.59, offset_x_cm for ac: -26.56
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.40, current_time_ms: 616428, curr_params.time_get_image: 20820, offset_y_cm from origin: 4.52, hokan nasi offset_x_cm for ac: -26.51, offset_x_cm for ac: -26.47
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.40, current_time_ms: 616439, curr_params.time_get_image: 20820, offset_y_cm from origin: 4.52, hokan nasi offset_x_cm for ac: -26.45, offset_x_cm for ac: -26.41
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.40, current_time_ms: 616450, curr_params.time_get_image: 20820, offset_y_cm from origin: 3.52, hokan nasi offset_x_cm for ac: -26.39, offset_x_cm for ac: -26.33
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.40, current_time_ms: 616461, curr_params.time_get_image: 20820, offset_y_cm from origin: 3.52, hokan nasi offset_x_cm for ac: -26.32, offset_x_cm for ac: -26.26
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.40, current_time_ms: 616472, curr_params.time_get_image: 20820, offset_y_cm from origin: 2.52, hokan nasi offset_x_cm for ac: -26.27, offset_x_cm for ac: -26.19
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.40, current_time_ms: 616483, curr_params.time_get_image: 20820, offset_y_cm from origin: 2.52, hokan nasi offset_x_cm for ac: -26.21, offset_x_cm for ac: -26.14
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.40, current_time_ms: 616494, curr_params.time_get_image: 20820, offset_y_cm from origin: 1.52, hokan nasi offset_x_cm for ac: -26.16, offset_x_cm for ac: -26.07
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.40, current_time_ms: 616505, curr_params.time_get_image: 20820, offset_y_cm from origin: 0.52, hokan nasi offset_x_cm for ac: -26.12, offset_x_cm for ac: -26.01
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.40, current_time_ms: 616516, curr_params.time_get_image: 20820, offset_y_cm from origin: 0.52, hokan nasi offset_x_cm for ac: -26.07, offset_x_cm for ac: -25.97
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.40, current_time_ms: 616527, curr_params.time_get_image: 20820, offset_y_cm from origin: -0.48, hokan nasi offset_x_cm for ac: -26.03, offset_x_cm for ac: -25.91
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -26.72, current_time_ms: 616539, curr_params.time_get_image: 21064, offset_y_cm from origin: 14.30, hokan nasi offset_x_cm for ac: -26.15, offset_x_cm for ac: -26.12
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -26.72, current_time_ms: 616550, curr_params.time_get_image: 21064, offset_y_cm from origin: 14.30, hokan nasi offset_x_cm for ac: -26.21, offset_x_cm for ac: -26.18
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -26.72, current_time_ms: 616561, curr_params.time_get_image: 21064, offset_y_cm from origin: 13.30, hokan nasi offset_x_cm for ac: -26.26, offset_x_cm for ac: -26.22
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -26.72, current_time_ms: 616572, curr_params.time_get_image: 21064, offset_y_cm from origin: 13.30, hokan nasi offset_x_cm for ac: -26.31, offset_x_cm for ac: -26.28
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -26.72, current_time_ms: 616583, curr_params.time_get_image: 21064, offset_y_cm from origin: 12.30, hokan nasi offset_x_cm for ac: -26.36, offset_x_cm for ac: -26.31
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -26.72, current_time_ms: 616594, curr_params.time_get_image: 21064, offset_y_cm from origin: 11.30, hokan nasi offset_x_cm for ac: -26.40, offset_x_cm for ac: -26.34
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -26.72, current_time_ms: 616605, curr_params.time_get_image: 21064, offset_y_cm from origin: 11.30, hokan nasi offset_x_cm for ac: -26.44, offset_x_cm for ac: -26.38
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -26.72, current_time_ms: 616616, curr_params.time_get_image: 21064, offset_y_cm from origin: 10.30, hokan nasi offset_x_cm for ac: -26.48, offset_x_cm for ac: -26.41
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -26.72, current_time_ms: 616627, curr_params.time_get_image: 21064, offset_y_cm from origin: 9.30, hokan nasi offset_x_cm for ac: -26.51, offset_x_cm for ac: -26.43
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -26.72, current_time_ms: 616638, curr_params.time_get_image: 21064, offset_y_cm from origin: 9.30, hokan nasi offset_x_cm for ac: -26.55, offset_x_cm for ac: -26.47
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -26.72, current_time_ms: 616649, curr_params.time_get_image: 21064, offset_y_cm from origin: 8.30, hokan nasi offset_x_cm for ac: -26.58, offset_x_cm for ac: -26.48
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -26.72, current_time_ms: 616660, curr_params.time_get_image: 21064, offset_y_cm from origin: 7.30, hokan nasi offset_x_cm for ac: -26.60, offset_x_cm for ac: -26.50
