--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
␀824.00, hokan nasi offset_x_cm for ac: 0.00, offset_x_cm for ac: 0.00, filterd_offset_x_cm: 0.00
send offset to actuator, curr_params.slope: 0.00, curr_params.bias: 0.00, current_time_ms: 35846, curr_params.time_get_image: 0, offset_y_cm from origin: -2824.00, hokan nasi offset_x_cm for ac: 0.00, offset_x_cm for ac: 0.00, filterd_offset_x_cm: 0.00
send offset to actuator, curr_params.slope: 0.00, curr_params.bias: 0.00, current_time_ms: 35858, curr_params.time_get_image: 0, offset_y_cm from origin: -2824.00, hokan nasi oset_x_cm for ac: -49.77, filterd_offset_x_cm: -49.97
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -49.01, current_time_ms: 50211, curr_params.time_get_image: 14291, offset_y_cm from origin: 21.07, hokan nasi offset_x_cm for ac: -49.64, offset_x_cm for ac: -49.62, filterd_offset_x_cm: -49.84
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -49.01, current_time_ms: 50223, curr_params.time_get_image: 14291, offset_y_cm from origin: 22.07, hokan nasi offset_x_cm for ac: -49.53, offset_x_cm for ac: -49.47, filterd_offset_x_cm: -49.70
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -49.01, current_time_ms: 50235, curr_params.time_get_image: 14291, offset_y_cm from origin: 23.07, hokan nasi offset_x_cm for ac: -49.42, offset_x_cm for ac: -49.34, filterd_offset_x_cm: -49.56
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -49.01, current_time_ms: 50247, curr_params.time_get_image: 14291, offset_y_cm from origin: 23.07, hokan nasi offset_x_cm for ac: -49.33, offset_x_cm for ac: -49.24, filterd_offset_x_cm: -49.44
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -49.01, current_time_ms: 50259, curr_params.time_get_image: 14291, offset_y_cm from origin: 24.07, hokan nasi offset_x_cm for ac: -49.25, offset_x_cm for ac: -49.13, filterd_offset_x_cm: -49.32
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -49.01, current_time_ms: 50271, curr_params.time_get_image: 14291, offset_y_cm from origin: 25.07, hokan nasi offset_x_cm for ac: -49.17, offset_x_cm for ac: -49.02, filterd_offset_x_cm: -49.21
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -49.01, current_time_ms: 50283, curr_params.time_get_image: 14291, offset_y_cm from origin: 26.07, hokan nasi offset_x_cm for ac: -49.10, offset_x_cm for ac: -48.93, filterd_offset_x_cm: -49.10
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -49.01, current_time_ms: 50295, curr_params.time_get_image: 14291, offset_y_cm from origin: 27.07, hokan nasi offset_x_cm for ac: -49.04, offset_x_cm for ac: -48.84, filterd_offset_x_cm: -49.00
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -49.01, current_time_ms: 50307, curr_params.time_get_image: 14291, offset_y_cm from origin: 28.07, hokan nasi offset_x_cm for ac: -48.99, offset_x_cm for ac: -48.75, filterd_offset_x_cm: -48.91
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -49.01, current_time_ms: 50319, curr_params.time_get_image: 14291, offset_y_cm from origin: 29.07, hokan nasi offset_x_cm for ac: -48.94, offset_x_cm for ac: -48.67, filterd_offset_x_cm: -48.82
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -49.01, current_time_ms: 50331, curr_params.time_get_image: 14291, offset_y_cm from origin: 30.07, hokan nasi offset_x_cm for ac: -48.89, offset_x_cm for ac: -48.60, filterd_offset_x_cm: -48.74
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -49.01, current_time_ms: 50343, curr_params.time_get_image: 14291, offset_y_cm from origin: 31.07, hokan nasi offset_x_cm for ac: -48.85, offset_x_cm for ac: -48.53, filterd_offset_x_cm: -48.66
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -49.01, current_time_ms: 50355, curr_params.time_get_image: 14291, offset_y_cm from origin: 32.07, hokan nasi offset_x_cm for ac: -48.82, offset_x_cm for ac: -48.47, filterd_offset_x_cm: -48.59
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -49.01, current_time_ms: 50367, curr_params.time_get_image: 14291, offset_y_cm from origin: 33.07, hokan nasi offset_x_cm for ac: -48.79, offset_x_cm for ac: -48.41, filterd_offset_x_cm: -48.52
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -49.01, current_time_ms: 50379, curr_params.time_get_image: 14291, offset_y_cm from origin: 34.07, hokan nasi offset_x_cm for ac: -48.76, offset_x_cm for ac: -48.36, filterd_offset_x_cm: -48.46
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -49.01, current_time_ms: 50391, curr_params.time_get_image: 14291, offset_y_cm from origin: 35.07, hokan nasi offset_x_cm for ac: -48.73, offset_x_cm for ac: -48.30, filterd_offset_x_cm: -48.40
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -48.46, current_time_ms: 50403, curr_params.time_get_image: 14550, offset_y_cm from origin: 22.10, hokan nasi offset_x_cm for ac: -48.54, offset_x_cm for ac: -48.58, filterd_offset_x_cm: -48.47
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -48.46, current_time_ms: 50415, curr_params.time_get_image: 14550, offset_y_cm from origin: 23.10, hokan nasi offset_x_cm for ac: -48.46, offset_x_cm for ac: -48.47, filterd_offset_x_cm: -48.47
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -48.46, current_time_ms: 50427, curr_params.time_get_image: 14550, offset_y_cm from origin: 24.10, hokan nasi offset_x_cm for ac: -48.39, offset_x_cm for ac: -48.37, filterd_offset_x_cm: -48.44
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -48.46, current_time_ms: 50439, curr_params.time_get_image: 14550, offset_y_cm from origin: 25.10, hokan nasi offset_x_cm for ac: -48.33, offset_x_cm for ac: -48.28, filterd_offset_x_cm: -48.38
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -48.46, current_time_ms: 50451, curr_params.time_get_image: 14550, offset_y_cm from origin: 26.10, hokan nasi offset_x_cm for ac: -48.28, offset_x_cm for ac: -48.20, filterd_offset_x_cm: -48.31
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -48.46, current_time_ms: 50463, curr_params.time_get_image: 14550, offset_y_cm from origin: 27.10, hokan nasi offset_x_cm for ac: -48.23, offset_x_cm for ac: -48.12, filterd_offset_x_cm: -48.24
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -48.46, current_time_ms: 50475, curr_params.time_get_image: 14550, offset_y_cm from origin: 28.10, hokan nasi offset_x_cm for ac: -48.19, offset_x_cm for ac: -48.05, filterd_offset_x_cm: -48.17
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -48.46, current_time_ms: 50487, curr_params.time_get_image: 14550, offset_y_cm from origin: 29.10, hokan nasi offset_x_cm for ac: -48.15, offset_x_cm for ac: -47.99, filterd_offset_x_cm: -48.10
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -48.46, current_time_ms: 50499, curr_params.time_get_image: 14550, offset_y_cm from origin: 30.10, hokan nasi offset_x_cm for ac: -48.12, offset_x_cm for ac: -47.93, filterd_offset_x_cm: -48.04
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -48.46, current_time_ms: 50511, curr_params.time_get_image: 14550, offset_y_cm from origin: 31.10, hokan nasi offset_x_cm for ac: -48.09, offset_x_cm for ac: -47.87, filterd_offset_x_cm: -47.97
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -48.46, current_time_ms: 50523, curr_params.time_get_image: 14550, offset_y_cm from origin: 33.10, hokan nasi offset_x_cm for ac: -48.06, offset_x_cm for ac: -47.79, filterd_offset_x_cm: -47.90
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -48.46, current_time_ms: 50535, curr_params.time_get_image: 14550, offset_y_cm from origin: 34.10, hokan nasi offset_x_cm for ac: -48.04, offset_x_cm for ac: -47.74, filterd_offset_x_cm: -47.84
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -48.46, current_time_ms: 50547, curr_params.time_get_image: 14550, offset_y_cm from origin: 35.10, hokan nasi offset_x_cm for ac: -48.02, offset_x_cm for ac: -47.70, filterd_offset_x_cm: -47.79
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -48.46, current_time_ms: 50559, curr_params.time_get_image: 14550, offset_y_cm from origin: 36.10, hokan nasi offset_x_cm for ac: -48.00, offset_x_cm for ac: -47.65, filterd_offset_x_cm: -47.74
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -48.46, current_time_ms: 50571, curr_params.time_get_image: 14550, offset_y_cm from origin: 37.10, hokan nasi offset_x_cm for ac: -47.99, offset_x_cm for ac: -47.61, filterd_offset_x_cm: -47.69
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -48.46, current_time_ms: 50583, curr_params.time_get_image: 14550, offset_y_cm from origin: 38.10, hokan nasi offset_x_cm for ac: -47.98, offset_x_cm for ac: -47.57, filterd_offset_x_cm: -47.64
