--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
_m for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.06, current_time_ms: 183780, curr_params.time_get_image: 38509, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -28.06, offset_x_cm for ac: -28.06
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -27.55, current_time_ms: 183792, curr_params.time_get_image: 38752, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -27.55, current_time_ms: 183803, curr_params.time_get_image: 38752, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -27.55, current_time_ms: 183814, curr_params.time_get_image: 38752, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -27.55, current_time_ms: 183825, curr_params.time_get_image: 38752, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -27.55, current_time_ms: 183836, curr_params.time_get_image: 38752, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -27.55, current_time_ms: 183847, curr_params.time_get_image: 38752, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -27.55, current_time_ms: 183858, curr_params.time_get_image: 38752, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -27.55, current_time_ms: 183869, curr_params.time_get_image: 38752, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -27.55, current_time_ms: 183880, curr_params.time_get_image: 38752, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -27.55, current_time_ms: 183891, curr_params.time_get_image: 38752, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -27.55, current_time_ms: 183902, curr_params.time_get_image: 38752, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -27.55, current_time_ms: 183913, curr_params.time_get_image: 38752, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -27.55, current_time_ms: 183924, curr_params.time_get_image: 38752, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -27.55, current_time_ms: 183935, curr_params.time_get_image: 38752, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -27.55, current_time_ms: 183946, curr_params.time_get_image: 38752, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -27.55, current_time_ms: 183957, curr_params.time_get_image: 38752, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -27.55, current_time_ms: 183968, curr_params.time_get_image: 38752, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -27.55, current_time_ms: 183979, curr_params.time_get_image: 38752, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -27.55, current_time_ms: 183990, curr_params.time_get_image: 38752, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -27.55, current_time_ms: 184001, curr_params.time_get_image: 38752, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -27.55, current_time_ms: 184012, curr_params.time_get_image: 38752, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -27.55, current_time_ms: 184023, curr_params.time_get_image: 38752, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184035, curr_params.time_get_image: 38991, offset_y_cm from origin: 0.13, hokan nasi offset_x_cm for ac: -28.05, offset_x_cm for ac: -28.05
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184046, curr_params.time_get_image: 38991, offset_y_cm from origin: 0.13, hokan nasi offset_x_cm for ac: -28.05, offset_x_cm for ac: -28.05
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184057, curr_params.time_get_image: 38991, offset_y_cm from origin: 0.13, hokan nasi offset_x_cm for ac: -28.05, offset_x_cm for ac: -28.05
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184068, curr_params.time_get_image: 38991, offset_y_cm from origin: 0.13, hokan nasi offset_x_cm for ac: -28.05, offset_x_cm for ac: -28.05
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184079, curr_params.time_get_image: 38991, offset_y_cm from origin: 0.13, hokan nasi offset_x_cm for ac: -28.05, offset_x_cm for ac: -28.05
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184090, curr_params.time_get_image: 38991, offset_y_cm from origin: 0.13, hokan nasi offset_x_cm for ac: -28.05, offset_x_cm for ac: -28.05
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184101, curr_params.time_get_image: 38991, offset_y_cm from origin: 0.13, hokan nasi offset_x_cm for ac: -28.05, offset_x_cm for ac: -28.05
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184112, curr_params.time_get_image: 38991, offset_y_cm from origin: 0.13, hokan nasi offset_x_cm for ac: -28.05, offset_x_cm for ac: -28.05
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184123, curr_params.time_get_image: 38991, offset_y_cm from origin: 0.13, hokan nasi offset_x_cm for ac: -28.05, offset_x_cm for ac: -28.05
