send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 561378, curr_params.time_get_image: 31416, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -63.59, offset_x_cm for ac: -63.59
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 561389, curr_params.time_get_image: 31416, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -63.59, offset_x_cm for ac: -63.59
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 561400, curr_params.time_get_image: 31416, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -63.60, offset_x_cm for ac: -63.59
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 561411, curr_params.time_get_image: 31416, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -63.60, offset_x_cm for ac: -63.60
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 561422, curr_params.time_get_image: 31416, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -63.60, offset_x_cm for ac: -63.60
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 561433, curr_params.time_get_image: 31416, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -63.61, offset_x_cm for ac: -63.61
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 561444, curr_params.time_get_image: 31416, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -63.61, offset_x_cm for ac: -63.61
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 561455, curr_params.time_get_image: 31416, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -63.62, offset_x_cm for ac: -63.61
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 561466, curr_params.time_get_image: 31416, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -63.62, offset_x_cm for ac: -63.62
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 561477, curr_params.time_get_image: 31416, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -63.62, offset_x_cm for ac: -63.62
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 561488, curr_params.time_get_image: 31416, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -63.63, offset_x_cm for ac: -63.63
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 561499, curr_params.time_get_image: 31416, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -63.63, offset_x_cm for ac: -63.63
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 561510, curr_params.time_get_image: 31416, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -63.64, offset_x_cm for ac: -63.63
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 561521, curr_params.time_get_image: 31416, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -63.64, offset_x_cm for ac: -63.64
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 561532, curr_params.time_get_image: 31416, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -63.64, offset_x_cm for ac: -63.64
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 561543, curr_params.time_get_image: 31416, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -63.65, offset_x_cm for ac: -63.65
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 561554, curr_params.time_get_image: 31416, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -63.65, offset_x_cm for ac: -63.65
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 561565, curr_params.time_get_image: 31416, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -63.66, offset_x_cm for ac: -63.65
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 561576, curr_params.time_get_image: 31416, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -63.66, offset_x_cm for ac: -63.66
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.65, current_time_ms: 561588, curr_params.time_get_image: 31652, offset_y_cm from origin: 1.30, hokan nasi offset_x_cm for ac: -63.62, offset_x_cm for ac: -63.62
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.65, current_time_ms: 561599, curr_params.time_get_image: 31652, offset_y_cm from origin: 1.30, hokan nasi offset_x_cm for ac: -63.62, offset_x_cm for ac: -63.62
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.65, current_time_ms: 561610, curr_params.time_get_image: 31652, offset_y_cm from origin: 1.30, hokan nasi offset_x_cm for ac: -63.61, offset_x_cm for ac: -63.61
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.65, current_time_ms: 561621, curr_params.time_get_image: 31652, offset_y_cm from origin: 1.30, hokan nasi offset_x_cm for ac: -63.61, offset_x_cm for ac: -63.61
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.65, current_time_ms: 561632, curr_params.time_get_image: 31652, offset_y_cm from origin: 1.30, hokan nasi offset_x_cm for ac: -63.61, offset_x_cm for ac: -63.61
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.65, current_time_ms: 561643, curr_params.time_get_image: 31652, offset_y_cm from origin: 1.30, hokan nasi offset_x_cm for ac: -63.61, offset_x_cm for ac: -63.61
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.65, current_time_ms: 561654, curr_params.time_get_image: 31652, offset_y_cm from origin: 1.30, hokan nasi offset_x_cm for ac: -63.61, offset_x_cm for ac: -63.61
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.65, current_time_ms: 561665, curr_params.time_get_image: 31652, offset_y_cm from origin: 1.30, hokan nasi offset_x_cm for ac: -63.61, offset_x_cm for ac: -63.61
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.65, current_time_ms: 561676, curr_params.time_get_image: 31652, offset_y_cm from origin: 1.30, hokan nasi offset_x_cm for ac: -63.61, offset_x_cm for ac: -63.61
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.65, current_time_ms: 561687, curr_params.time_get_image: 31652, offset_y_cm from origin: 1.30, hokan nasi offset_x_cm for ac: -63.61, offset_x_cm for ac: -63.61
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.65, current_time_ms: 561698, curr_params.time_get_image: 31652, offset_y_cm from origin: 0.30, hokan nasi offset_x_cm for ac: -63.61, offset_x_cm for ac: -63.65
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.65, current_time_ms: 561709, curr_params.time_get_image: 31652, offset_y_cm from origin: 0.30, hokan nasi offset_x_cm for ac: -63.61, offset_x_cm for ac: -63.65
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.65, current_time_ms: 561720, curr_params.time_get_image: 31652, offset_y_cm from origin: 0.30, hokan nasi offset_x_cm for ac: -63.61, offset_x_cm for ac: -63.65
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.65, current_time_ms: 561731, curr_params.time_get_image: 31652, offset_y_cm from origin: 0.30, hokan nasi offset_x_cm for ac: -63.61, offset_x_cm for ac: -63.65
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.65, current_time_ms: 561742, curr_params.time_get_image: 31652, offset_y_cm from origin: 0.30, hokan nasi offset_x_cm for ac: -63.61, offset_x_cm for ac: -63.65
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.65, current_time_ms: 561753, curr_params.time_get_image: 31652, offset_y_cm from origin: 0.30, hokan nasi offset_x_cm for ac: -63.61, offset_x_cm for ac: -63.65
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.65, current_time_ms: 561764, curr_params.time_get_image: 31652, offset_y_cm from origin: 0.30, hokan nasi offset_x_cm for ac: -63.61, offset_x_cm for ac: -63.65
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.65, current_time_ms: 561775, curr_params.time_get_image: 31652, offset_y_cm from origin: 0.30, hokan nasi offset_x_cm for ac: -63.61, offset_x_cm for ac: -63.65
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.65, current_time_ms: 561786, curr_params.time_get_image: 31652, offset_y_cm from origin: -0.70, hokan nasi offset_x_cm for ac: -63.61, offset_x_cm for ac: -63.68
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.65, current_time_ms: 561797, curr_params.time_get_image: 31652, offset_y_cm from origin: -0.70, hokan nasi offset_x_cm for ac: -63.61, offset_x_cm for ac: -63.68
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.65, current_time_ms: 561808, curr_params.time_get_image: 31652, offset_y_cm from origin: -0.70, hokan nasi offset_x_cm for ac: -63.61, offset_x_cm for ac: -63.68
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.65, current_time_ms: 561819, curr_params.time_get_image: 31652, offset_y_cm from origin: -0.70, hokan nasi offset_x_cm for ac: -63.61, offset_x_cm for ac: -63.68
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.60, current_time_ms: 561831, curr_params.time_get_image: 31892, offset_y_cm from origin: 3.85, hokan nasi offset_x_cm for ac: -63.52, offset_x_cm for ac: -63.52
